_id,type,model
ObjectId(682dc988f29986dd1137d697),smart phone,platina
ObjectId(682dc988f29986dd1137d698),smart phone,bn20
ObjectId(682dc988f29986dd1137d699),smart phone,xm23
ObjectId(682dc988f29986dd1137d69a),smart phone,pk2
ObjectId(682dc988f29986dd1137d69b),smart phone,platina
ObjectId(682dc988f29986dd1137d69c),smart phone,c12
ObjectId(682dc988f29986dd1137d69d),smart phone,k9
ObjectId(682dc988f29986dd1137d69e),smart phone,k9
ObjectId(682dc988f29986dd1137d69f),smart phone,platina
ObjectId(682dc988f29986dd1137d6a0),smart phone,cz
ObjectId(682dc988f29986dd1137d6a1),smart phone,xm23
ObjectId(682dc988f29986dd1137d6a2),smart phone,bn20
ObjectId(682dc988f29986dd1137d6a3),smart phone,c3
ObjectId(682dc988f29986dd1137d6a4),smart phone,pk2
ObjectId(682dc988f29986dd1137d6a5),smart phone,pk2
ObjectId(682dc988f29986dd1137d6a6),smart phone,bn20
ObjectId(682dc988f29986dd1137d6a7),smart phone,c3
ObjectId(682dc988f29986dd1137d6a8),smart phone,c12
ObjectId(682dc988f29986dd1137d6a9),smart phone,c12
ObjectId(682dc988f29986dd1137d6aa),smart phone,k9
ObjectId(682dc988f29986dd1137d6ab),smart phone,xm23
ObjectId(682dc988f29986dd1137d6ac),smart phone,c3
ObjectId(682dc988f29986dd1137d6ad),smart phone,cz
ObjectId(682dc988f29986dd1137d6ae),laptop,qw2
ObjectId(682dc988f29986dd1137d6af),smart phone,cz
ObjectId(682dc988f29986dd1137d6b0),laptop,c6
ObjectId(682dc988f29986dd1137d6b1),laptop,ay9
ObjectId(682dc988f29986dd1137d6b2),laptop,k12
ObjectId(682dc988f29986dd1137d6b3),laptop,jl3
ObjectId(682dc988f29986dd1137d6b4),laptop,qw2
ObjectId(682dc988f29986dd1137d6b5),laptop,zeta
ObjectId(682dc988f29986dd1137d6b6),laptop,ki2
ObjectId(682dc988f29986dd1137d6b7),laptop,zeta
ObjectId(682dc988f29986dd1137d6b8),laptop,zeta
ObjectId(682dc988f29986dd1137d6b9),laptop,qw2
ObjectId(682dc988f29986dd1137d6ba),laptop,k12
ObjectId(682dc988f29986dd1137d6bb),laptop,jl3
ObjectId(682dc988f29986dd1137d6bc),laptop,j3
ObjectId(682dc988f29986dd1137d6bd),laptop,ay9
ObjectId(682dc988f29986dd1137d6be),laptop,ki2
ObjectId(682dc988f29986dd1137d6bf),laptop,ki2
ObjectId(682dc988f29986dd1137d6c0),laptop,ki2
ObjectId(682dc988f29986dd1137d6c1),laptop,kz
ObjectId(682dc988f29986dd1137d6c2),laptop,ki2
ObjectId(682dc988f29986dd1137d6c3),laptop,ay9
ObjectId(682dc988f29986dd1137d6c4),laptop,qw2
ObjectId(682dc988f29986dd1137d6c5),laptop,kz
ObjectId(682dc988f29986dd1137d6c6),laptop,ay9
ObjectId(682dc988f29986dd1137d6c7),laptop,c6
ObjectId(682dc988f29986dd1137d6c8),laptop,qw2
ObjectId(682dc988f29986dd1137d6c9),laptop,k12
